l,xi,xmax
-4.75,-2.3,0.989672
-4.75,-2.4,0.987107
-4.75,-2.5,0.983878
-4.75,-2.6,0.979813
-4.75,-2.7,0.974695
-4.75,-2.8,0.968251
-4.75,-2.9,0.96014
-4.75,-3.0,0.949929
-4.75,-3.1,0.937073
-4.75,-3.2,0.920889
-4.75,-3.3,0.900514
-4.75,-3.4,0.874863
-4.75,-3.5,0.842572
-4.75,-3.6,0.801919
-4.75,-3.7,0.750739
-4.75,-3.8,0.686308
-4.75,-3.9,0.605195
-4.75,-4.0,0.503079
-4.75,-4.1,0.374523
-4.75,-4.2,0.21268
-4.75,-4.3,0.008931
-4.75,-4.4,0.0
-4.75,-4.5,0.0
-4.75,-4.6,0.0
-4.75,-4.7,0.0
-4.75,-4.8,0.0
-4.75,-4.9,0.0
-4.75,-5.0,0.0
-4.5,6.0,0.999574
-4.5,5.9,0.999574
-4.5,5.8,0.999574
-4.5,5.7,0.999574
-4.5,5.6,0.999574
-4.5,5.5,0.999574
-4.5,5.4,0.999574
-4.5,5.3,0.999574
-4.5,5.2,0.999574
-4.5,5.1,0.999574
-4.5,5.0,0.999574
-4.5,4.9,0.999574
-4.5,4.8,0.999574
-4.5,4.7,0.999574
-4.5,4.6,0.999574
-4.5,4.5,0.999574
-4.5,4.4,0.999574
-4.5,4.3,0.999574
-4.5,4.2,0.999574
-4.5,4.1,0.999574
-4.5,4.0,0.999574
-4.5,3.9,0.999574
-4.5,3.8,0.999574
-4.5,3.7,0.999574
-4.5,3.6,0.999574
-4.5,3.5,0.999574
-4.5,3.4,0.999574
-4.5,3.3,0.999574
-4.5,3.2,0.999574
-4.5,3.1,0.999574
-4.5,3.0,0.999574
-4.5,2.9,0.999574
-4.5,2.8,0.999574
-4.5,2.7,0.999574
-4.5,2.6,0.999574
-4.5,2.5,0.999574
-4.5,2.4,0.999574
-4.5,2.3,0.999574
-4.5,2.2,0.999574
-4.5,2.1,0.999574
-4.5,2.0,0.999573
-4.5,1.9,0.999573
-4.5,1.8,0.999573
-4.5,1.7,0.999573
-4.5,1.6,0.999572
-4.5,1.5,0.999572
-4.5,1.4,0.999571
-4.5,1.3,0.99957
-4.5,1.2,0.99957
-4.5,1.1,0.999569
-4.5,1.0,0.999567
-4.5,0.9,0.999566
-4.5,0.8,0.999564
-4.5,0.7,0.999561
-4.5,0.6,0.999557
-4.5,0.5,0.999553
-4.5,0.4,0.999547
-4.5,0.3,0.999541
-4.5,0.2,0.999532
-4.5,0.1,0.999521
-4.5,0.0,0.999508
-4.5,-0.1,0.99949
-4.5,-0.2,0.999469
-4.5,-0.3,0.999442
-4.5,-0.4,0.999407
-4.5,-0.5,0.999364
-4.5,-0.6,0.99931
-4.5,-0.7,0.999242
-4.5,-0.8,0.999156
-4.5,-0.9,0.999048
-4.5,-1.0,0.998912
-4.5,-1.1,0.99874
-4.5,-1.2,0.998525
-4.5,-1.3,0.998253
-4.5,-1.4,0.997911
-4.5,-1.5,0.99748
-4.5,-1.6,0.996938
-4.5,-1.7,0.996256
-4.5,-1.8,0.995396
-4.5,-1.9,0.994315
-4.5,-2.0,0.992953
-4.5,-2.1,0.991239
-4.5,-2.2,0.98908
-4.5,-2.3,0.986364
-4.5,-2.4,0.982943
-4.5,-2.5,0.978637
-4.5,-2.6,0.973215
-4.5,-2.7,0.966391
-4.5,-2.8,0.957799
-4.5,-2.9,0.946982
-4.5,-3.0,0.933365
-4.5,-3.1,0.916221
-4.5,-3.2,0.894639
-4.5,-3.3,0.867469
-4.5,-3.4,0.833264
-4.5,-3.5,0.790202
-4.5,-3.6,0.73599
-4.5,-3.7,0.667741
-4.5,-3.8,0.581821
-4.5,-3.9,0.473655
-4.5,-4.0,0.337481
-4.5,-4.1,0.166048
-4.5,-4.2,0.0
-4.5,-4.3,0.0
-4.5,-4.4,0.0
-4.5,-4.5,0.0
-4.5,-4.6,0.0
-4.5,-4.7,0.0
-4.5,-4.8,0.0
-4.5,-4.9,0.0
-4.5,-5.0,0.0
-4.25,6.0,0.999566
-4.25,5.9,0.999566
-4.25,5.8,0.999566
-4.25,5.7,0.999566
-4.25,5.6,0.999566
-4.25,5.5,0.999566
-4.25,5.4,0.999566
-4.25,5.3,0.999566
-4.25,5.2,0.999566
-4.25,5.1,0.999566
-4.25,5.0,0.999566
-4.25,4.9,0.999566
-4.25,4.8,0.999566
-4.25,4.7,0.999566
-4.25,4.6,0.999566
-4.25,4.5,0.999566
-4.25,4.4,0.999566
-4.25,4.3,0.999566
-4.25,4.2,0.999566
-4.25,4.1,0.999566
-4.25,4.0,0.999566
-4.25,3.9,0.999566
-4.25,3.8,0.999566
-4.25,3.7,0.999566
-4.25,3.6,0.999566
-4.25,3.5,0.999566
-4.25,3.4,0.999566
-4.25,3.3,0.999566
-4.25,3.2,0.999566
-4.25,3.1,0.999566
-4.25,3.0,0.999566
-4.25,2.9,0.999566
-4.25,2.8,0.999566
-4.25,2.7,0.999566
-4.25,2.6,0.999566
-4.25,2.5,0.999566
-4.25,2.4,0.999565
-4.25,2.3,0.999565
-4.25,2.2,0.999565
-4.25,2.1,0.999565
-4.25,2.0,0.999565
-4.25,1.9,0.999565
-4.25,1.8,0.999564
-4.25,1.7,0.999564
-4.25,1.6,0.999564
-4.25,1.5,0.999563
-4.25,1.4,0.999562
-4.25,1.3,0.999561
-4.25,1.2,0.99956
-4.25,1.1,0.999559
-4.25,1.0,0.999557
-4.25,0.9,0.999555
-4.25,0.8,0.999552
-4.25,0.7,0.999548
-4.25,0.6,0.999544
-4.25,0.5,0.999538
-4.25,0.4,0.999531
-4.25,0.3,0.999522
-4.25,0.2,0.99951
-4.25,0.1,0.999496
-4.25,0.0,0.999478
-4.25,-0.1,0.999454
-4.25,-0.2,0.999426
-4.25,-0.3,0.999389
-4.25,-0.4,0.999344
-4.25,-0.5,0.999286
-4.25,-0.6,0.999214
-4.25,-0.7,0.999123
-4.25,-0.8,0.999009
-4.25,-0.9,0.998865
-4.25,-1.0,0.998683
-4.25,-1.1,0.998454
-4.25,-1.2,0.998167
-4.25,-1.3,0.997804
-4.25,-1.4,0.997348
-4.25,-1.5,0.996774
-4.25,-1.6,0.996051
-4.25,-1.7,0.995141
-4.25,-1.8,0.993995
-4.25,-1.9,0.992552
-4.25,-2.0,0.990736
-4.25,-2.1,0.98845
-4.25,-2.2,0.985573
-4.25,-2.3,0.981949
-4.25,-2.4,0.977388
-4.25,-2.5,0.971646
-4.25,-2.6,0.964416
-4.25,-2.7,0.955315
-4.25,-2.8,0.943857
-4.25,-2.9,0.929433
-4.25,-3.0,0.911274
-4.25,-3.1,0.888413
-4.25,-3.2,0.859633
-4.25,-3.3,0.823401
-4.25,-3.4,0.777787
-4.25,-3.5,0.720363
-4.25,-3.6,0.648071
-4.25,-3.7,0.55706
-4.25,-3.8,0.442484
-4.25,-3.9,0.298241
-4.25,-4.0,0.11665
-4.25,-4.1,0.0
-4.25,-4.2,0.0
-4.25,-4.3,0.0
-4.25,-4.4,0.0
-4.25,-4.5,0.0
-4.25,-4.6,0.0
-4.25,-4.7,0.0
-4.25,-4.8,0.0
-4.25,-4.9,0.0
-4.25,-5.0,0.0
-4.0,6.0,0.999551
-4.0,5.9,0.999551
-4.0,5.8,0.999551
-4.0,5.7,0.999551
-4.0,5.6,0.999551
-4.0,5.5,0.999551
-4.0,5.4,0.999551
-4.0,5.3,0.999551
-4.0,5.2,0.999551
-4.0,5.1,0.999551
-4.0,5.0,0.999551
-4.0,4.9,0.999551
-4.0,4.8,0.999551
-4.0,4.7,0.999551
-4.0,4.6,0.999551
-4.0,4.5,0.999551
-4.0,4.4,0.999551
-4.0,4.3,0.999551
-4.0,4.2,0.999551
-4.0,4.1,0.999551
-4.0,4.0,0.999551
-4.0,3.9,0.999551
-4.0,3.8,0.999551
-4.0,3.7,0.999551
-4.0,3.6,0.999551
-4.0,3.5,0.999551
-4.0,3.4,0.999551
-4.0,3.3,0.999551
-4.0,3.2,0.999551
