crates,xmaxs
0.1,99.2442675684593
0.2,98.2050065984824
0.333333333,96.4735235895744
0.5,93.494308808974
1,85.3886918508743
3,54.0030105575718
5,29.6843038601122
7,19.5001649620588
10,12.5024744308809
