theta,E
0.000010,4.754559
0.007117,4.753103
0.015468,4.751958
0.023822,4.750849
0.032177,4.749772
0.040531,4.748724
0.048886,4.747701
0.057241,4.746703
0.065595,4.745726
0.073950,4.744769
0.082304,4.743829
0.090659,4.742907
0.099013,4.742000
0.107368,4.741107
0.115723,4.740227
0.124077,4.739358
0.132432,4.738501
0.140786,4.737654
0.149141,4.736816
0.157495,4.735986
0.165850,4.735165
0.174205,4.734351
0.182559,4.733543
0.190914,4.732741
0.199268,4.731945
0.207623,4.731153
0.215977,4.730367
0.224332,4.729584
0.232687,4.728805
0.241041,4.728028
0.249396,4.727255
0.257750,4.726484
0.266105,4.725714
0.274459,4.724946
0.282814,4.724180
0.291169,4.723414
0.299523,4.722649
0.307878,4.721884
0.316232,4.721118
0.324587,4.720353
0.332941,4.719586
0.341296,4.718818
0.349651,4.718048
0.358005,4.717277
0.366360,4.716503
0.374714,4.715727
0.383069,4.714948
0.391423,4.714166
0.399778,4.713380
0.408133,4.712590
0.416487,4.711797
0.424842,4.710998
0.433196,4.710195
0.441551,4.709386
0.449905,4.708571
0.458260,4.707751
0.466615,4.706924
0.474969,4.706090
0.483324,4.705249
0.491678,4.704400
0.500033,4.703543
0.508387,4.702677
0.516742,4.701802
0.525097,4.700917
0.533451,4.700022
0.541806,4.699117
0.550160,4.698199
0.558515,4.697270
0.566869,4.696328
0.575224,4.695373
0.583579,4.694403
0.591933,4.693419
0.600288,4.692418
0.608642,4.691401
0.616997,4.690367
0.625351,4.689315
0.633706,4.688242
0.642061,4.687150
0.650415,4.686035
0.658770,4.684897
0.667124,4.683735
0.675479,4.682547
0.683833,4.681332
0.692188,4.680087
0.700543,4.678810
0.708897,4.677501
0.717252,4.676156
0.725606,4.674773
0.733961,4.673350
0.742315,4.671883
0.750670,4.670370
0.759025,4.668806
0.767379,4.667188
0.775734,4.665512
0.784088,4.663771
0.792443,4.661962
0.800797,4.660078
0.809152,4.658111
0.817507,4.656053
0.825861,4.653895
0.834216,4.651628
0.842570,4.649237
0.850925,4.646709
0.859279,4.644026
0.867634,4.641169
0.875989,4.638112
0.884343,4.634825
0.892698,4.631271
0.901052,4.627405
0.909407,4.623165
0.917761,4.618476
0.926116,4.613232
0.934471,4.607291
0.942825,4.600446
0.951180,4.592386
0.954276,4.588999
