theta,E
0.000010,4.766262
0.007499,4.758783
0.017644,4.755498
0.030293,4.752862
0.044685,4.750543
0.060106,4.748415
0.076105,4.746414
0.092424,4.744504
0.108918,4.742664
0.125509,4.740879
0.142153,4.739138
0.158827,4.737432
0.175517,4.735757
0.192215,4.734106
0.208918,4.732475
0.225624,4.730859
0.242331,4.729255
0.259040,4.727659
0.275748,4.726068
0.292457,4.724479
0.309166,4.722888
0.325875,4.721293
0.342584,4.719691
0.359293,4.718079
0.376002,4.716453
0.392711,4.714810
0.409421,4.713149
0.426130,4.711464
0.442839,4.709752
0.459548,4.708010
0.476257,4.706234
0.492966,4.704419
0.509675,4.702560
0.526385,4.700653
0.543094,4.698689
0.559803,4.696665
0.576512,4.694572
0.593221,4.692401
0.609930,4.690143
0.626639,4.687787
0.643349,4.685319
0.660058,4.682724
0.676767,4.679984
0.693476,4.677076
0.710185,4.673975
0.726894,4.670646
0.743603,4.667047
0.760313,4.663126
0.777022,4.658812
0.793731,4.654011
0.810440,4.648593
0.827149,4.642372
0.843858,4.635064
0.860567,4.626215
0.877277,4.615027
0.893986,4.599890
0.902915,4.589000
